"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.545840917E0,9.184830901E-4,-1.584737054E-2,-3.002603710E-2,3.396388770E-2
1.555821917E0,1.293213154E-2,-1.580767343E-2,1.173711598E-2,2.355594313E-2
1.565803917E0,1.697972268E-2,-1.580523861E-2,9.940851331E-3,2.523761231E-2
1.575784917E0,1.284379976E-2,-1.748141150E-2,-3.227136791E-2,3.888449726E-2
1.585766917E0,1.258713897E-2,-9.078167751E-3,1.982030690E-2,2.517327477E-2
1.595747917E0,8.082257305E-3,4.298671950E-3,1.113777637E-2,1.441705678E-2
1.605729917E0,1.383146728E-3,1.541019524E-2,-1.820121288E-2,2.388872878E-2
1.615711917E0,3.783239604E-3,1.705144015E-2,2.041847706E-2,2.686966167E-2
1.625692917E0,8.051733583E-3,1.060054516E-2,-1.026888013E-2,1.681225358E-2
1.635674917E0,1.031362332E-3,1.824282405E-2,-1.101849318E-2,2.133709280E-2
1.645655917E0,8.867373343E-3,1.162725228E-2,1.158508837E-2,1.865576528E-2
1.655637917E0,1.947415173E-2,1.710095419E-2,-1.131787062E-2,2.828037155E-2
1.665619917E0,1.765062216E-2,1.535879456E-2,-1.790358961E-2,2.946142484E-2
1.675600917E0,2.337640758E-2,8.720254200E-3,-1.138452888E-3,2.497589518E-2
1.685582917E0,1.021936952E-2,9.116517263E-3,-3.083821535E-3,1.403767629E-2
1.695563917E0,8.640220435E-3,3.515414572E-3,8.291936517E-3,1.248069549E-2
1.705545917E0,7.996145063E-3,5.198626961E-3,6.345398426E-3,1.145548512E-2
1.715526917E0,8.931838896E-4,-1.002133734E-2,-3.317242384E-2,3.466460274E-2
1.725508917E0,3.325539948E-3,-1.033367459E-2,-2.029919386E-2,2.301958553E-2
1.735490917E0,-1.313438525E-3,-1.426249644E-2,9.339172840E-3,1.709865711E-2
1.745471917E0,-4.397568409E-3,-4.870822001E-3,-2.359176099E-2,2.448743967E-2
1.755453917E0,-7.336239953E-3,-9.431741573E-4,-2.164639235E-2,2.287523324E-2
1.765434917E0,-5.400476385E-3,1.121631636E-2,3.578495979E-4,1.245387306E-2
1.775416917E0,2.090378739E-3,6.714065373E-4,-2.074884474E-2,2.086468375E-2
1.785398917E0,8.393490204E-3,-7.112233350E-3,-2.209604323E-2,2.468338849E-2
1.795379917E0,1.140322969E-2,1.002157945E-4,-1.146814406E-2,1.617287911E-2
1.805361917E0,1.808746969E-2,1.365036605E-2,-4.604682326E-2,5.132055130E-2
1.815342917E0,2.534722532E-2,1.777266679E-2,-5.098596632E-2,5.964828815E-2
1.825324917E0,1.388639485E-2,1.240768655E-2,-1.685752273E-2,2.511889169E-2
1.835305917E0,1.228165507E-2,1.677248228E-2,-2.538977981E-2,3.281457194E-2
1.845287917E0,6.569181191E-3,8.597193151E-3,-4.439966261E-2,4.569897058E-2
1.855269917E0,6.767626211E-3,1.629611237E-2,-3.990841627E-2,4.363537249E-2
1.865250917E0,3.107960143E-3,8.104286576E-3,-6.677520275E-3,1.095117136E-2
1.875232917E0,1.958667066E-3,5.156074762E-3,-1.970102370E-2,2.045853901E-2
1.885213917E0,7.682245513E-3,-2.428472000E-3,-3.002896070E-2,3.109104137E-2
1.895195917E0,3.802271321E-3,-7.519880212E-3,9.039795399E-3,1.235814575E-2
1.905177917E0,8.252715347E-4,-1.233969439E-2,6.495671868E-3,1.396935517E-2
1.915158917E0,4.398969685E-3,5.271036504E-3,-3.272335768E-2,3.343580263E-2
1.925140917E0,5.655461240E-3,-5.049436167E-3,-1.566001296E-2,1.739876586E-2
1.935121917E0,1.327672783E-2,-7.004333949E-3,8.139324188E-3,1.707573700E-2
1.945103917E0,6.911533954E-3,-1.154973099E-2,-6.231377721E-3,1.483225053E-2
1.955085917E0,9.631356607E-3,-2.959257569E-3,-1.416487992E-2,1.738286681E-2
1.965066917E0,1.745820650E-2,-1.517402711E-3,3.197842240E-3,1.781341293E-2
1.975048917E0,7.626865415E-3,1.345098514E-2,-2.489744425E-3,1.566195724E-2
1.985029917E0,7.609774871E-3,2.219251772E-2,-7.729434371E-3,2.470143057E-2
