"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.165496250E0,-9.669891357E-2,1.321751404E-1,9.796078949E0,9.797447817E0
2.175477250E0,-9.939331055E-2,1.431024170E-1,9.796827393E0,9.798376615E0
2.185458250E0,-9.684860229E-2,1.404080200E-1,9.791887665E0,9.793373173E0
2.195440250E0,-9.744735718E-2,1.359173584E-1,9.806557159E0,9.807983118E0
2.205421250E0,-9.879455566E-2,1.463955688E-1,9.796827393E0,9.798419209E0
2.215402250E0,-9.535171509E-2,1.405577087E-1,9.799072723E0,9.800544610E0
2.225383250E0,-9.400451660E-2,1.384620667E-1,9.800719299E0,9.802148100E0
2.235365250E0,-8.861572266E-2,1.377136230E-1,9.794432373E0,9.795801310E0
2.245346250E0,-9.175918579E-2,1.451980591E-1,9.790989532E0,9.792496017E0
2.255327250E0,-9.250762939E-2,1.471440125E-1,9.801318054E0,9.802859002E0
2.265308250E0,-8.412506104E-2,1.345701599E-1,9.809850311E0,9.811133945E0
2.275289250E0,-9.295669556E-2,1.386117554E-1,9.798324280E0,9.799745551E0
2.285271250E0,-9.520202637E-2,1.477427673E-1,9.802365875E0,9.803941458E0
2.295252250E0,-8.622070312E-2,1.428030396E-1,9.808353424E0,9.809771843E0
2.305233250E0,-9.490264893E-2,1.442999268E-1,9.802515564E0,9.804036942E0
2.315214250E0,-9.011260986E-2,1.395098877E-1,9.805659027E0,9.807065425E0
2.325196250E0,-8.637039185E-2,1.381626892E-1,9.787696381E0,9.789052519E0
2.335177250E0,-9.220825195E-2,1.348695374E-1,9.797126770E0,9.798488919E0
2.345158250E0,-9.265731812E-2,1.440005493E-1,9.789642334E0,9.791139799E0
2.355139250E0,-9.894424438E-2,1.408570862E-1,9.794432373E0,9.795944885E0
2.365121250E0,-9.774673462E-2,1.410067749E-1,9.798324280E0,9.799826326E0
2.375102250E0,-8.547225952E-2,1.383123779E-1,9.794282684E0,9.795632145E0
